iter	Passed	Remaining
429	1668	2211
430	1671	2207
431	1675	2202
432	1678	2198
433	1682	2193
434	1686	2190
435	1689	2185
436	1693	2181
437	1696	2176
438	1700	2172
439	1703	2167
440	1706	2163
441	1710	2159
442	1713	2154
443	1717	2150
444	1720	2145
445	1724	2141
446	1727	2137
447	1730	2132
448	1734	2128
449	1737	2124
450	1741	2119
451	1744	2115
452	1748	2111
453	1751	2106
454	1755	2102
455	1758	2097
456	1762	2093
457	1765	2089
458	1769	2085
459	1772	2080
460	1775	2076
461	1779	2072
462	1783	2068
463	1786	2064
464	1790	2059
465	1794	2055
466	1797	2051
467	1801	2047
468	1805	2044
469	1810	2041
470	1815	2038
471	1819	2035
472	1823	2031
473	1828	2029
474	1832	2025
475	1836	2021
476	1839	2016
477	1842	2012
478	1846	2008
479	1849	2003
480	1853	1999
481	1856	1995
482	1859	1990
483	1863	1986
484	1866	1982
485	1870	1977
486	1873	1973
487	1877	1969
488	1880	1965
489	1883	1960
490	1887	1956
491	1890	1952
492	1894	1947
493	1897	1943
494	1900	1939
495	1904	1935
496	1907	1930
497	1911	1926
498	1914	1922
499	1918	1918
500	1921	1913
501	1925	1909
502	1929	1906
503	1932	1901
504	1936	1897
505	1939	1893
506	1943	1889
507	1946	1885
508	1950	1881
509	1953	1877
510	1957	1873
511	1961	1869
512	1964	1865
513	1968	1861
514	1972	1857
515	1976	1853
516	1980	1850
517	1985	1847
518	1989	1843
519	1992	1839
520	1996	1835
521	2000	1831
522	2004	1828
523	2009	1825
524	2012	1820
525	2016	1817
526	2020	1813
527	2025	1810
528	2029	1806
529	2032	1802
530	2036	1799
531	2040	1795
532	2044	1791
533	2047	1787
534	2051	1782
535	2054	1778
536	2058	1774
537	2061	1770
538	2065	1766
539	2068	1762
540	2072	1758
541	2076	1754
542	2079	1750
543	2084	1747
544	2087	1743
545	2092	1739
546	2095	1735
547	2098	1731
548	2102	1727
549	2105	1722
550	2109	1718
551	2112	1714
552	2116	1710
553	2119	1706
554	2123	1702
555	2126	1698
556	2130	1694
557	2133	1690
558	2136	1685
559	2140	1681
560	2144	1677
561	2147	1673
562	2151	1669
563	2154	1665
564	2158	1661
565	2161	1657
566	2165	1653
567	2168	1649
568	2171	1645
569	2176	1641
570	2183	1640
571	2187	1636
572	2190	1632
573	2194	1628
574	2199	1625
575	2203	1622
576	2207	1618
577	2211	1614
578	2215	1611
579	2219	1607
580	2224	1603
581	2229	1600
582	2233	1597
583	2236	1593
584	2239	1588
585	2243	1584
586	2247	1581
587	2252	1578
588	2256	1574
589	2260	1570
590	2263	1566
591	2267	1562
592	2271	1558
593	2274	1554
594	2278	1550
595	2281	1546
596	2285	1542
597	2288	1538
598	2292	1534
599	2295	1530
600	2299	1526
601	2302	1522
602	2306	1518
603	2309	1514
604	2313	1510
605	2316	1506
606	2320	1502
607	2324	1498
608	2327	1494
609	2331	1490
610	2334	1486
611	2338	1482
612	2341	1478
613	2345	1474
614	2348	1470
615	2352	1466
616	2355	1462
617	2359	1458
618	2362	1454
619	2366	1450
620	2370	1446
621	2374	1442
622	2378	1439
623	2381	1435
